hr,workingday,temp,casual,registered,weathersit_2,weathersit_3,season_2,season_3,season_4
18,0,0.2,11,56,False,False,False,False,False
8,0,0.46,24,101,False,False,False,False,True
21,0,0.62,66,156,False,False,False,False,True
2,0,0.24,0,14,False,False,False,False,False
11,0,0.5,120,201,False,False,True,False,False
7,0,0.4,17,40,False,False,False,False,True
8,0,0.2,9,111,False,False,False,False,False
6,0,0.24,0,5,False,False,False,False,False
18,0,0.4,24,103,False,False,False,False,False
12,0,0.18,42,192,False,False,False,False,False
10,0,0.62,127,277,False,False,True,False,False
18,0,0.52,165,356,False,False,False,False,True
17,0,0.62,208,230,False,False,False,False,True
22,0,0.7,63,151,False,False,True,False,False
18,0,0.82,141,222,False,False,False,True,False
18,0,0.72,160,179,False,False,False,True,False
14,0,0.4,75,253,False,False,False,False,False
1,0,0.66,32,84,False,False,False,True,False
1,0,0.26,9,62,False,False,False,False,True
3,0,0.28,7,34,False,False,False,False,True
11,0,0.66,258,323,False,False,True,False,False
3,0,0.24,4,13,False,False,False,False,True
11,0,0.76,183,326,False,False,False,True,False
4,0,0.42,0,6,False,False,False,False,True
8,0,0.58,27,143,False,False,False,True,False
8,0,0.34,23,151,False,False,False,False,True
13,0,0.38,62,92,False,False,False,False,False
17,0,0.48,142,222,False,False,False,False,False
4,0,0.34,0,4,False,False,False,False,True
22,0,0.62,44,101,False,False,True,False,False
13,0,0.4,88,269,False,False,False,False,True
5,0,0.2,0,8,False,False,True,False,False
20,0,0.78,108,224,False,False,False,True,False
18,0,0.74,254,391,False,False,True,False,False
7,0,0.54,20,50,False,False,False,True,False
13,0,0.8,139,228,False,False,False,True,False
22,0,0.7,31,117,False,False,False,True,False
5,0,0.62,3,10,False,False,True,False,False
23,0,0.24,4,38,False,False,False,False,False
6,0,0.52,5,13,False,False,True,False,False
23,0,0.44,34,91,False,False,True,False,False
9,0,0.74,59,171,False,False,True,False,False
10,0,0.76,120,191,False,False,True,False,False
23,0,0.32,20,33,False,False,True,False,False
11,0,0.76,183,326,False,False,False,True,False
3,0,0.24,0,6,False,False,False,False,True
16,0,0.48,153,339,False,False,True,False,False
5,0,0.62,1,6,False,False,True,False,False
4,0,0.26,0,5,False,False,False,False,True
9,0,0.28,25,76,False,False,False,False,False
12,0,0.66,276,366,False,False,True,False,False
18,0,0.52,153,279,False,False,True,False,False
22,0,0.62,44,101,False,False,True,False,False
2,0,0.46,17,39,False,False,False,False,True
11,0,0.82,155,282,False,False,False,True,False
6,0,0.64,6,19,False,False,False,True,False
19,0,0.14,4,26,False,False,False,False,False
5,0,0.66,5,14,False,False,False,True,False
1,0,0.32,2,22,False,False,False,False,False
1,0,0.16,8,54,False,False,False,False,True
19,0,0.54,170,243,False,False,True,False,False
2,0,0.24,1,20,False,False,True,False,False
8,0,0.3,4,53,False,False,False,False,False
8,0,0.64,24,65,False,False,False,True,False
11,0,0.46,180,324,False,False,False,False,True
0,0,0.36,7,39,False,False,False,False,True
5,0,0.22,3,7,False,False,False,False,False
9,0,0.32,49,155,False,False,False,False,True
13,0,0.44,52,103,False,False,False,False,False
22,0,0.72,78,123,False,False,False,True,False
7,0,0.28,5,116,False,False,False,False,True
1,0,0.58,8,47,False,False,True,False,False
6,0,0.64,0,3,False,False,False,True,False
13,0,0.4,113,232,False,False,False,False,True
21,0,0.64,59,171,False,False,False,True,False
5,0,0.36,2,11,False,False,True,False,False
15,0,0.88,205,284,False,False,False,True,False
4,0,0.44,9,9,False,False,False,False,True
12,0,0.66,276,408,False,False,True,False,False
0,0,0.66,44,143,False,False,False,True,False
21,0,0.64,54,111,False,False,True,False,False
15,0,0.72,232,274,False,False,True,False,False
2,0,0.4,6,25,False,False,False,False,True
18,0,0.72,160,179,False,False,False,True,False
6,0,0.32,1,18,False,False,True,False,False
6,0,0.1,0,1,False,False,False,False,False
13,0,0.54,97,216,False,False,False,False,True
11,0,0.28,57,198,False,False,False,False,False
8,0,0.84,24,85,False,False,False,True,False
14,0,0.34,93,123,False,False,True,False,False
11,0,0.82,155,282,False,False,False,True,False
2,0,0.26,6,23,False,False,False,False,True
16,0,0.7,226,436,False,False,True,False,False
1,0,0.34,23,123,False,False,False,False,True
21,0,0.14,5,43,False,False,False,False,False
20,0,0.26,10,95,False,False,False,False,False
19,0,0.7,114,265,False,False,True,False,False
16,0,0.28,27,207,False,False,False,False,True
17,0,0.74,188,368,False,False,False,True,False
2,0,0.22,7,43,False,False,False,False,True
9,0,0.56,48,112,False,False,True,False,False
3,0,0.44,4,16,False,False,False,False,True
22,0,0.74,101,178,False,False,False,True,False
22,0,0.26,4,54,False,False,False,False,False
16,0,0.36,28,69,False,False,False,False,False
18,0,0.74,227,273,False,False,False,True,False
18,0,0.4,16,54,False,False,False,False,True
17,0,0.4,83,143,False,False,False,False,False
0,0,0.36,2,77,False,False,False,False,False
0,0,0.22,3,31,False,False,False,False,True
17,0,0.84,179,170,False,False,False,True,False
2,0,0.42,13,52,False,False,False,False,True
2,0,0.64,21,68,False,False,True,False,False
11,0,0.56,144,270,False,False,True,False,False
21,0,0.52,44,129,False,False,False,False,False
5,0,0.44,1,5,False,False,False,True,False
4,0,0.24,0,6,False,False,False,False,True
17,0,0.82,122,260,False,False,False,True,False
16,0,0.36,28,69,False,False,False,False,False
13,0,0.08,12,72,False,False,False,False,False
23,0,0.22,0,8,False,False,False,False,False
23,0,0.7,20,48,False,False,False,True,False
16,0,0.5,167,300,False,False,False,False,False
23,0,0.3,12,73,False,False,False,False,True
10,0,0.36,62,258,False,False,False,False,True
17,0,0.74,159,238,False,False,True,False,False
10,0,0.58,160,319,False,False,False,False,True
18,0,0.58,114,175,False,False,True,False,False
7,0,0.2,2,20,False,False,False,False,False
11,0,0.32,102,184,False,False,False,False,False
20,0,0.5,42,137,False,False,False,False,True
23,0,0.34,2,19,False,False,False,False,True
2,0,0.2,1,17,False,False,False,False,False
